name,num,col,col1,col2,wish,day,price,day1,price1,price2,price3,min,brand,category,high/low,W1M0,line,scrap,disrupt,X,event,prm,emb
(WW)Adidas Yeezy Boost 350 V2 Black Red 2020, CP9652 , CORE BLACK/CORE BLACK/RED ,black,black,"7,129", 20/12/05 ,"289,000",2020.12.4,470000,496250,468250,433333,Adidas,Yeezy,low,1.0,nm,0.0,0.0,0.0,0.0,0.0,0.0
(WW)Adidas Yeezy Boost 350 V2 Blue Tint, B37571 , BLUE TINT/GREY THREE/HIGH RISK RED ,white,gray,"6,819", 17/12/17 ,"299,000",2021.11.20,500000,500000,500000,317714,Adidas,Yeezy,low,1.0,nm,0.0,0.0,0.0,0.0,0.0,0.0
(WW)Adidas Yeezy Boost 350 V2 Carbon, FZ5000 , ASRIEL/ASRIEL/ASRIEL ,black,gray,"1,725", 20/10/02 ,"289,000",2020.10.2,372000,346000,348000,289000,Adidas,Yeezy,low,1.0,nm,0.0,0.0,0.0,0.0,0.0,0.0
(WW)Adidas Yeezy Boost 350 V2 Cinder, FY2903 , CINDER/CINDER/CINDER ,black,black,"1,867", 20/03/21 ,"289,000",2020.3.21,341500,340000,333000,321000,Adidas,Yeezy,low,1.0,nm,0.0,0.0,0.0,0.0,0.0,0.0
(WW)Adidas Yeezy Boost 350 V2 Light, GY3438 , LIGHT/LIGHT/LIGHT ,ivory,beige,"3,634", 21/08/28 ,"289,000",2021.8.30,374500,390000,397000,325000,Adidas,Yeezy,low,1.0,nm,0.0,0.0,0.0,0.0,0.0,0.0
(WW)Adidas Yeezy Boost 350 V2 Mono Clay, GW2870 , MONO CLAY/MONO CLAY/MONO CLAY ,sand,orange,598, 21/06/18 ,"289,000",2021.6.18,290400,278000,287000,200000,Adidas,Yeezy,low,1.0,nm,0.0,0.0,0.0,0.0,0.0,0.0
(WW)Adidas Yeezy Boost 350 V2 MX Oat, GW3773 , MX OAT/MX OAT/MX OAT ,sand,mix,"2,203", 21/10/23 ,"289,000",2021.10.22,340000,305667,294500,209000,Adidas,Yeezy,low,1.0,nm,0.0,0.0,0.0,0.0,0.0,0.0
(WW)Adidas Yeezy Boost 350 V2 MX Rock, GW3774 , MX ROCK/MX ROCK/MX ROCK ,black,black,"1,691", 21/12/22 ,"299,000",2021.12.22,309000,291000,291000,240000,Adidas,Yeezy,low,1.0,nm,0.0,0.0,0.0,0.0,0.0,0.0
(WW)Adidas Yeezy Boost 350 V2 Natural,FZ5246,ABEZ/ABEZ/ABEZ,white,beige,"1,157", 20/10/24 ,"289,000",2020.10.24,416750,416750,452000,401364,Adidas,Yeezy,low,1.0,nm,0.0,0.0,0.0,0.0,0.0,0.0
(WW)Adidas Yeezy Boost 350 V2 Sand Taupe, FZ5240 , SAND TAUPE ,sand,sand,406, 20/12/19 ,"289,000",2020.12.20,300000,328750,336333,300000,Adidas,Yeezy,low,1.0,nm,0.0,0.0,0.0,0.0,0.0,0.0
(WW)Adidas Yeezy Boost 350 V2 Zyon, FZ1267 , ZYON/ZYON/ZYON ,beige,black,"3,349", 20/07/18 ,"289,000",2020.7.17,360000,339333,336333,315500,Adidas,Yeezy,low,1.0,nm,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy Boost 350 V2 Ash Pearl, GY7658 , ASH PEARL/ASH PEARL/ASH PEARL ,beige,beige,"1,441", 21/03/20 ,"289,000",2021.3.19,330000,324640,331400,289000,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy Boost 350 V2 Ash Stone, GW0089 , ASH STONE/ASH STONE/ASH STONE ,gray,pink,907, 21/02/27 ,"289,000",2021.2.27,295846,304333,314500,281000,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy Boost 350 V2 Beluga - Reflective, GW1229 , BELUGA RF/STEEPLE GREY/SOLAR RED ,gray,red,"5,973", 21/12/18 ,"329,000",2021.12.15,606625,585857,563455,492760,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy Boost 350 V2 Black - Non-Reflective, FU9006 , BLACK/BLACK/BLACK ,black,black,"2,458", 19/06/08 ,"289,000",2020.1.30,400000,400000,400000,400000,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy Boost 350 V2 Black Red 2020, CP9652 , CORE BLACK/CORE BLACK/RED ,black,black,"7,129", 20/12/05 ,"289,000",2020.12.4,556200,528029,493317,474247,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy Boost 350 V2 Carbon, FZ5000 , ASRIEL/ASRIEL/ASRIEL ,black,gray,"1,725", 20/10/02 ,"289,000",2020.10.1,316000,295474,303571,255500,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy Boost 350 V2 Cinder, FY2903 , CINDER/CINDER/CINDER ,black,black,"1,867", 20/03/21 ,"289,000",2020.3.21,355625,365800,354167,324000,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy Boost 350 V2 Cinder - Reflective, FY4176 , CINDER/CINDER/CINDER ,gray,black,435, 20/04/04 ,"299,300",2020.4.17,464500,451000,451000,450500,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy Boost 350 V2 Desert Sage, FX9035 , DESERT SAGE ,green,gray,717, 20/03/14 ,"289,000",2020.3.16,289500,283500,289000,252000,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy Boost 350 V2 Fade, H02795 , FADE/FADE/FADE ,pink,blue,765, 20/11/11 ,"289,000",2020.11.11,277000,273000,259000,244500,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy Boost 350 V2 Israfil, FZ5421 , ISRAFIL/ISRAFIL/ISRAFIL ,gray,sand,"1,628", 20/08/22 ,"289,000",2020.8.22,290400,286889,275074,274150,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy Boost 350 V2 Light, GY3438 , LIGHT/LIGHT/LIGHT ,ivory,beige,"3,634", 21/08/28 ,"289,000",2021.8.27,498000,407250,428500,315000,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy Boost 350 V2 Mono Clay, GW2870 , MONO CLAY/MONO CLAY/MONO CLAY ,sand,orange,598, 21/06/18 ,"289,000",2021.6.18,286000,287600,287600,200000,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy Boost 350 V2 MX Oat, GW3773 , MX OAT/MX OAT/MX OAT ,sand,mix,"2,203", 21/10/23 ,"289,000",2021.10.22,338000,309412,307000,275000,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy Boost 350 V2 MX Rock, GW3774 , MX ROCK/MX ROCK/MX ROCK ,black,black,"1,691", 21/12/22 ,"299,000",2021.12.22,322756,305429,295333,262500,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy Boost 350 V2 Sand Taupe, FZ5240 , SAND TAUPE ,sand,sand,406, 20/12/19 ,"289,000",2020.12.19,293333,287000,279750,245000,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy Boost 350 V2 Zebra, CP9654 , WHITE/CORE BLACK/RED ,white,black,"7,278", 17/02/26 ,"289,000",2020.2.6,429000,429000,429000,429000,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy Boost 350 V2 Zyon, FZ1267 , ZYON/ZYON/ZYON ,beige,black,"3,349", 20/07/18 ,"289,000",2020.7.18,338459,340545,330356,281000,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy Boost 380 Alien Blue - Reflective, GW0304 , ALIEN BLUE RF/ALIEN BLUE RF/ALIEN BLUE RF ,white,blue,"1,130", 21/05/31 ,"299,000",2021.5.31,295684,287833,279600,260000,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy Boost 380 Blue Oat - Non-Reflective, Q47306 , BLUE OAT/BLUE OAT/BLUE OAT ,brown,blue,224, 20/07/25 ,"299,000",2020.7.25,291250,291250,291250,240000,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy Boost 380 Calcite Glow, GZ8668 , CALGLO/CALGLO/CALGLO ,white,gray,"1,882", 20/10/31 ,"329,000",2020.10.31,334036,345000,336294,296750,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy Boost 380 Mist - Non-Reflective, FX9764 , MIST/MIST/MIST ,gray,sand,705, 20/03/25 ,"299,000",2020.3.25,322273,305900,297600,261000,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy Boost 380 Onyx - Non-Reflective, FZ1270 , ONYX/ONYX/ONYX ,black,brown,566, 20/11/28 ,"299,000",2020.11.29,263000,270000,270000,221000,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy Boost 380 Pepper - Non-Reflective, FZ1269 , PEPPER/PEPPER/PEPPER ,white,sand,606, 20/09/12 ,"299,000",2020.9.12,282500,270000,266667,200000,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy Boost 380 Yecoraite - Reflective, GY2649 , YECORAITE RF/YECORAITE RF/YECORAITE RF ,white,sand,762, 21/01/16 ,"299,000",2021.1.18,299000,299000,299000,284000,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy 450 Cloud White, H68038 , CLOUD WHITE/CLOUD WHITE ,white,beige,"1,436", 21/03/06 ,"269,000",2021.3.6,500000,519500,491600,491600,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
